"",,,"2011-12",,"2012-13",,"2013-14",,"2014-15",,"2015-16",
"District","District Code","English Learner Status","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","English Learner Status",13,23.6,19,46.3,10,34.5,14,26.9,11,22.9
"Amistad Academy District","=""2790013""","English Learner Status",17,16.7,20,27.0,34,33.7,25,22.1,18,16.7
"Andover School District","=""0010011""","English Learner Status","N/A","*","N/A","*","N/A","*","*","*","N/A","*"
"Ansonia School District","=""0020011""","English Learner Status","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","English Learner Status",8,20.5,9,21.4,13,26.0,9,15.5,11,19.0
"Ashford School District","=""0030011""","English Learner Status","*","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Avon School District","=""0040011""","English Learner Status","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Barkhamsted School District","=""0050011""","English Learner Status","N/A","*","*","*","N/A","*","N/A","N/A","N/A","N/A"
"Berlin School District","=""0070011""","English Learner Status","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","English Learner Status","N/A","*","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Bethel School District","=""0090011""","English Learner Status",7,8.1,6,7.3,"*","*",7,6.4,"*","*"
"Bloomfield School District","=""0110011""","English Learner Status",6,16.2,"*","*",7,25.0,"*","*","*","*"
"Bolton School District","=""0120011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","*","*"
"Bozrah School District","=""0130011""","English Learner Status","N/A","N/A","N/A","*","N/A","*","N/A","*","N/A","*"
"Branford School District","=""0140011""","English Learner Status",6,4.8,"*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","English Learner Status",14,23.0,10,13.2,27,28.1,28,26.2,25,20.0
"Bridgeport School District","=""0150011""","English Learner Status",319,12.1,336,12.0,324,11.4,337,11.0,342,11.5
"Bristol School District","=""0170011""","English Learner Status",32,11.1,38,11.4,36,10.7,36,9.7,28,7.6
"Brookfield School District","=""0180011""","English Learner Status","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Canaan School District","=""0210011""","English Learner Status","N/A","N/A","N/A","*","N/A","*","N/A","*","N/A","*"
"Canterbury School District","=""0220011""","English Learner Status","N/A","*","N/A","N/A","N/A","*","N/A","N/A","N/A","N/A"
"Canton School District","=""0230011""","English Learner Status","*","*","*","*","*","*","*","*","N/A","*"
"Capitol Region Education Council","=""2410014""","English Learner Status",13,10.2,29,14.2,26,11.5,33,9.9,30,7.5
"Chaplin School District","=""0240011""","English Learner Status","N/A","N/A","N/A","*","N/A","*","N/A","*","N/A","N/A"
"Cheshire School District","=""0250011""","English Learner Status","*","*","*","*","*","*","N/A","N/A","*","*"
"Chester School District","=""0260011""","English Learner Status","*","*","N/A","N/A","N/A","*","N/A","N/A","N/A","*"
"Clinton School District","=""0270011""","English Learner Status",6,14.6,"*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","English Learner Status","*","*","*","*","*","*","*","*","N/A","N/A"
"Common Ground High School District","=""2680013""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Connecticut Technical High School System","=""9000016""","English Learner Status",54,19.8,41,15.2,50,17.5,43,12.3,43,11.5
"Cooperative Educational Services","=""2430014""","English Learner Status","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Cornwall School District","=""0310011""","English Learner Status","N/A","N/A","N/A","*","N/A","*","N/A","*","N/A","*"
"Coventry School District","=""0320011""","English Learner Status","N/A","*","N/A","N/A","N/A","*","N/A","*","N/A","*"
"Cromwell School District","=""0330011""","English Learner Status","N/A","N/A","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""","English Learner Status",245,12.0,267,12.1,181,7.8,236,9.1,182,6.6
"Darien School District","=""0350011""","English Learner Status","N/A","N/A","N/A","*","N/A","N/A","N/A","N/A","N/A","*"
"Deep River School District","=""0360011""","English Learner Status","N/A","*","N/A","*","*","*","N/A","*","N/A","*"
"Derby School District","=""0370011""","English Learner Status",9,8.5,8,7.9,7,7.4,13,17.1,"*","*"
"East Granby School District","=""0400011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"East Haddam School District","=""0410011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","N/A","N/A","N/A"
"East Hampton School District","=""0420011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"East Hartford School District","=""0430011""","English Learner Status",90,15.1,82,12.9,85,12.9,99,13.7,57,8.2
"East Haven School District","=""0440011""","English Learner Status",13,6.3,7,3.3,19,8.8,7,2.9,10,4.3
"East Lyme School District","=""0450011""","English Learner Status","N/A","N/A","*","*","*","*","*","*","*","*"
"East Windsor School District","=""0470011""","English Learner Status","*","*","*","*","N/A","N/A","N/A","N/A","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","English Learner Status","N/A","*","N/A","*","N/A","*","*","*","*","*"
"Easton School District","=""0460011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Ellington School District","=""0480011""","English Learner Status","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","English Learner Status","*","*","*","*",12,26.1,"*","*","*","*"
"Elm City Montessori School District","=""2910013""","English Learner Status","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Enfield School District","=""0490011""","English Learner Status","*","*","*","*","*","*","*","*","*","*"
"Essex School District","=""0500011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Fairfield School District","=""0510011""","English Learner Status","*","*",13,6.2,12,5.5,18,8.6,9,3.9
"Farmington School District","=""0520011""","English Learner Status","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Glastonbury School District","=""0540011""","English Learner Status","*","*","N/A","N/A","*","*","*","*","*","*"
"Granby School District","=""0560011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Great Oaks Charter School District","=""2940013""","English Learner Status","N/A","N/A","N/A","N/A","N/A","N/A",6,"*",7,21.9
"Greenwich School District","=""0570011""","English Learner Status",8,1.6,12,2.5,7,1.4,11,1.9,8,1.6
"Griswold School District","=""0580011""","English Learner Status","N/A","N/A","N/A","N/A","N/A","*","N/A","*","N/A","N/A"
"Groton School District","=""0590011""","English Learner Status",21,19.8,16,13.9,12,11.4,12,9.2,15,11.5
"Guilford School District","=""0600011""","English Learner Status","N/A","N/A","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"Hamden School District","=""0620011""","English Learner Status",12,4.7,14,5.2,22,9.2,15,5.3,20,6.9
"Hartford School District","=""0640011""","English Learner Status",581,16.0,677,18.3,637,17.0,625,16.0,513,12.9
"Hebron School District","=""0670011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Highville Charter School District","=""2860013""","English Learner Status","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Integrated Day Charter School District","=""2640013""","English Learner Status","N/A","*","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"Interdistrict School for Arts and Comm District","=""2650013""","English Learner Status","*","*","*","*",6,15.8,8,25.8,"*","*"
"Jumoke Academy District","=""2610013""","English Learner Status","N/A","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Kent School District","=""0680011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Killingly School District","=""0690011""","English Learner Status","*","*","*","*","*","*","*","*","*","*"
"Learn","=""2450014""","English Learner Status","*","*","*","*","*","*",8,6.8,10,4.8
"Lebanon School District","=""0710011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Ledyard School District","=""0720011""","English Learner Status","*","*","*","*","*","*","*","*","N/A","N/A"
"Lisbon School District","=""0730011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Litchfield School District","=""0740011""","English Learner Status","*","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Madison School District","=""0760011""","English Learner Status","N/A","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Manchester School District","=""0770011""","English Learner Status",27,8.2,33,9.7,28,7.8,27,7.4,25,6.5
"Mansfield School District","=""0780011""","English Learner Status","N/A","N/A","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"Marlborough School District","=""0790011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","N/A"
"Meriden School District","=""0800011""","English Learner Status",185,18.2,147,14.8,117,11.2,123,10.3,83,7.0
"Middletown School District","=""0830011""","English Learner Status",10,6.9,12,7.7,11,7.3,18,9.9,14,7.6
"Milford School District","=""0840011""","English Learner Status","*","*","*","*","*","*","*","*","*","*"
"Monroe School District","=""0850011""","English Learner Status","N/A","*","N/A","*","*","*","N/A","*","N/A","*"
"Montville School District","=""0860011""","English Learner Status","*","*","*","*","*","*","*","*","N/A","N/A"
"Naugatuck School District","=""0880011""","English Learner Status",13,6.9,10,5.7,11,7.1,11,6.7,16,8.1
"New Beginnings Inc Family Academy District","=""2800013""","English Learner Status","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"New Beginnings Inc., Family Academy District","=""2800013""","English Learner Status","N/A","N/A","N/A","*","N/A","*","N/A","*","N/A","N/A"
"New Britain School District","=""0890011""","English Learner Status",325,18.8,368,21.6,441,25.4,321,17.7,271,16.1
"New Canaan School District","=""0900011""","English Learner Status","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"New Fairfield School District","=""0910011""","English Learner Status","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"New Hartford School District","=""0920011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"New Haven School District","=""0930011""","English Learner Status",210,7.9,161,6.0,142,5.0,162,5.1,132,4.0
"New London School District","=""0950011""","English Learner Status",107,16.1,138,20.4,133,18.8,123,16.3,116,14.1
"New Milford School District","=""0960011""","English Learner Status","*","*",6,4.8,7,5.3,7,5.3,"*","*"
"Newington School District","=""0940011""","English Learner Status",12,7.5,7,4.3,7,4.0,9,4.7,"*","*"
"Newtown School District","=""0970011""","English Learner Status","N/A","*","N/A","*","N/A","*","*","*","N/A","*"
"North Branford School District","=""0990011""","English Learner Status","*","*","*","*","*","*","*","*","N/A","N/A"
"North Canaan School District","=""1000011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"North Haven School District","=""1010011""","English Learner Status","N/A","N/A","*","*","*","*","*","*","*","*"
"North Stonington School District","=""1020011""","English Learner Status","N/A","N/A","N/A","N/A","N/A","*","N/A","*","N/A","*"
"Norwalk School District","=""1030011""","English Learner Status",93,6.9,105,7.9,86,6.3,66,4.1,73,4.3
"Norwich Free Academy District","=""9010022""","English Learner Status",20,18.3,23,17.6,22,13.7,21,12.9,24,14.7
"Norwich School District","=""1040011""","English Learner Status",45,9.8,51,10.8,30,6.4,30,6.0,33,6.3
"Odyssey Community School District","=""2630013""","English Learner Status","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*"
"Old Saybrook School District","=""1060011""","English Learner Status","*","*","N/A","N/A","N/A","N/A","*","*","N/A","N/A"
"Orange School District","=""1070011""","English Learner Status","N/A","*","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Oxford School District","=""1080011""","English Learner Status","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Park City Prep Charter School District","=""2830013""","English Learner Status","*","*","N/A","*","N/A","*","*","*","N/A","*"
"Path Academy District","=""2930013""","English Learner Status","N/A","N/A","N/A","N/A","N/A","N/A",12,33.3,"*","*"
"Plainfield School District","=""1090011""","English Learner Status","*","*","*","*","*","*","N/A","N/A","*","*"
"Plainville School District","=""1100011""","English Learner Status","*","*","*","*","*","*","*","*","*","*"
"Plymouth School District","=""1110011""","English Learner Status","N/A","*","N/A","*","N/A","*","*","*","*","*"
"Pomfret School District","=""1120011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Portland School District","=""1130011""","English Learner Status","*","*","*","*","*","*","N/A","N/A","N/A","*"
"Preston School District","=""1140011""","English Learner Status","*","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Putnam School District","=""1160011""","English Learner Status","*","*","*","*","*","*","*","*","*","*"
"Redding School District","=""1170011""","English Learner Status","*","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Regional School District 01","=""2010012""","English Learner Status","N/A","N/A","N/A","*","N/A","*","N/A","*","N/A","*"
"Regional School District 04","=""2040012""","English Learner Status","*","*","N/A","*","N/A","*","*","*","N/A","*"
"Regional School District 05","=""2050012""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","N/A","N/A","*"
"Regional School District 06","=""2060012""","English Learner Status","*","*","*","*","N/A","*","*","*","N/A","*"
"Regional School District 07","=""2070012""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","N/A"
"Regional School District 08","=""2080012""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","N/A"
"Regional School District 09","=""2090012""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Regional School District 10","=""2100012""","English Learner Status","N/A","N/A","N/A","N/A","*","*","N/A","N/A","*","*"
"Regional School District 11","=""2110012""","English Learner Status","N/A","N/A","N/A","N/A","N/A","*","N/A","*","N/A","*"
"Regional School District 12","=""2120012""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Regional School District 13","=""2130012""","English Learner Status","N/A","*","*","*","N/A","*","N/A","*","N/A","*"
"Regional School District 14","=""2140012""","English Learner Status","*","*","N/A","N/A","N/A","*","N/A","N/A","*","*"
"Regional School District 15","=""2150012""","English Learner Status","*","*","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Regional School District 16","=""2160012""","English Learner Status","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Regional School District 17","=""2170012""","English Learner Status","*","*","N/A","*","N/A","*","N/A","*","*","*"
"Regional School District 18","=""2180012""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Regional School District 19","=""2190012""","English Learner Status","N/A","*","N/A","*","*","*","N/A","*","*","*"
"Ridgefield School District","=""1180011""","English Learner Status","*","*","N/A","N/A","N/A","N/A","*","*","*","*"
"Rocky Hill School District","=""1190011""","English Learner Status","*","*","*","*","*","*","*","*","*","*"
"Salem School District","=""1210011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","N/A","N/A","N/A"
"Salisbury School District","=""1220011""","English Learner Status","N/A","N/A","N/A","N/A","N/A","*","N/A","*","N/A","*"
"Seymour School District","=""1240011""","English Learner Status","*","*",8,8.5,"*","*","*","*","*","*"
"Sharon School District","=""1250011""","English Learner Status","N/A","N/A","N/A","N/A","N/A","*","N/A","*","N/A","N/A"
"Shelton School District","=""1260011""","English Learner Status","*","*","*","*",9,4.8,10,5.0,7,3.0
"Sherman School District","=""1270011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Side By Side Charter School District","=""2700013""","English Learner Status","N/A","*","N/A","*","N/A","*","*","*","*","*"
"Simsbury School District","=""1280011""","English Learner Status","*","*","N/A","N/A","N/A","N/A","*","*","N/A","N/A"
"Somers School District","=""1290011""","English Learner Status","*","*","*","*","N/A","*","N/A","*","N/A","*"
"South Windsor School District","=""1320011""","English Learner Status","*","*","N/A","N/A","*","*","*","*","*","*"
"Southington School District","=""1310011""","English Learner Status","*","*","*","*","*","*","*","*","N/A","N/A"
"Sprague School District","=""1330011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Stafford School District","=""1340011""","English Learner Status","*","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Stamford School District","=""1350011""","English Learner Status",72,3.5,63,3.0,62,3.1,70,3.2,79,3.6
"Stonington School District","=""1370011""","English Learner Status","N/A","*","N/A","*","*","*","*","*","*","*"
"Stratford School District","=""1380011""","English Learner Status",10,2.9,19,5.9,21,5.7,16,4.2,16,5.0
"Suffield School District","=""1390011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"The Bridge Academy District","=""2690013""","English Learner Status","*","*","*","*","*","*","N/A","*","*","*"
"The Gilbert School District","=""9020022""","English Learner Status","*","*","*","*",9,40.9,9,"*","*","*"
"Thomaston School District","=""1400011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Thompson School District","=""1410011""","English Learner Status","N/A","*","N/A","N/A","N/A","*","N/A","*","N/A","*"
"Tolland School District","=""1420011""","English Learner Status","N/A","*","N/A","N/A","N/A","*","N/A","*","N/A","*"
"Torrington School District","=""1430011""","English Learner Status",25,7.5,29,8.8,28,8.0,28,7.5,26,6.9
"Trailblazers Academy District","=""2780013""","English Learner Status","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Trumbull School District","=""1440011""","English Learner Status","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","=""3470015""","English Learner Status","N/A","*","*","*","N/A","*","N/A","N/A","N/A","N/A"
"Vernon School District","=""1460011""","English Learner Status","*","*","*","*","*","*",6,5.1,"*","*"
"Wallingford School District","=""1480011""","English Learner Status",7,2.8,12,4.5,8,2.9,15,4.7,7,2.1
"Waterbury School District","=""1510011""","English Learner Status",457,22.5,429,20.3,482,21.6,507,20.5,546,21.2
"Waterford School District","=""1520011""","English Learner Status","*","*","*","*","*","*","*","*","*","*"
"Watertown School District","=""1530011""","English Learner Status","*","*",6,7.9,"*","*","*","*","*","*"
"West Hartford School District","=""1550011""","English Learner Status",30,5.2,23,4.3,19,3.7,31,5.4,26,4.8
"West Haven School District","=""1560011""","English Learner Status",28,4.1,28,4.1,27,3.9,22,2.8,41,5.1
"Westbrook School District","=""1540011""","English Learner Status","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Weston School District","=""1570011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","N/A"
"Westport School District","=""1580011""","English Learner Status","*","*","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"Wethersfield School District","=""1590011""","English Learner Status",13,8.0,9,5.1,14,6.9,16,6.8,14,5.3
"Willington School District","=""1600011""","English Learner Status","*","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Wilton School District","=""1610011""","English Learner Status","N/A","N/A","N/A","N/A","*","*","*","*","N/A","N/A"
"Winchester School District","=""1620011""","English Learner Status","*","*","*","*","N/A","N/A","N/A","N/A","*","*"
"Windham School District","=""1630011""","English Learner Status",181,22.0,174,22.1,184,23.4,147,18.1,149,17.8
"Windsor Locks School District","=""1650011""","English Learner Status","*","*","*","*","*","*",6,7.1,6,7.2
"Windsor School District","=""1640011""","English Learner Status",14,11.4,13,10.3,13,10.5,11,9.2,10,7.0
"Wolcott School District","=""1660011""","English Learner Status","*","*","N/A","N/A","*","*","*","*","*","*"
"Woodbridge School District","=""1670011""","English Learner Status","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Woodstock Academy District","=""9030022""","English Learner Status","N/A","*","N/A","*","*","*","N/A","*","N/A","*"
"Woodstock School District","=""1690011""","English Learner Status","N/A","*","N/A","*","N/A","N/A","N/A","*","*","*"

